Wall time,Step,Value
1663970499.5219529,1,0.560818076133728
1663971123.5788822,2,0.5940524339675903
1663971748.1798794,3,0.5797257423400879
1663972371.01249,4,0.5829997658729553
1663972993.2670546,5,0.5875829458236694
1663973616.2288,6,0.5891337394714355
1663974238.2061815,7,0.603559136390686
1663974860.2965002,8,0.6025790572166443
1663975481.8848727,9,0.6021625399589539
1663976103.6081548,10,0.6063137650489807
1663976725.775989,11,0.6091280579566956
1663977347.10171,12,0.6094174385070801
1663977969.6379578,13,0.6123043894767761
1663978593.7514215,14,0.6131885051727295
1663979214.469706,15,0.6172756552696228
1663979834.759412,16,0.6128137707710266
1663980457.390714,17,0.6185168027877808
1663981080.431674,18,0.612498939037323
1663981702.409493,19,0.6152469515800476
1663982324.6334846,20,0.6163244843482971
1663982946.946666,21,0.6190367341041565
1663983568.9604068,22,0.6176773309707642
1663984192.1408794,23,0.6190527677536011
1663984814.6772556,24,0.6185168027877808
1663985436.7679472,25,0.6182956695556641
1663986059.08251,26,0.6181830763816833
1663986681.0517251,27,0.6187310814857483
1663987304.3683627,28,0.6173279285430908
1663987926.6123505,29,0.6188383102416992
1663988549.0959568,30,0.6187207102775574
